Maharaja,Stadtmitte,51.2008853,6.7811308
EatDoori,Stadtmitte,51.2240292,6.7880332
Taj Palace,Nord,51.2598613,6.7533563
Jaipur Prime,Stadtmitte,51.2198724,6.7840227
DosaHut,Nord,51.2457219,6.7896188
